year,day,date,temperature,error,net.treatment,shrub.x,shrub.y,shrub.z,rep,all.insects,insect.RTU,total.duration,floral.density,start,stop,visitation.duration,flowers.visited,observation.type,shrub.volume
2015,1,2015-04-01,29.45622222,3.412740449,Annual flowers in open,0,0,0,1,SF,flies,1.5141666666666667,30,0:18:50,0:18:51,2.777777777777778e-4,1,video,0
2015,1,2015-04-01,29.45622222,3.412740449,Annual flowers in open,0,0,0,1,SF,flies,1.5141666666666667,30,0:04:00,0:05:32,0.025555555555555557,2,video,0
2015,1,2015-04-01,29.45622222,3.412740449,Annual flowers in open,0,0,0,1,B,other,1.5141666666666667,30,0:32:53,0:33:22,0.008055555555555555,1,video,0
2015,1,2015-04-01,29.45622222,3.412740449,Annual flowers in open,0,0,0,1,MB,bees,1.5141666666666667,30,1:07:02,1:07:03,2.777777777777778e-4,1,video,0
2015,1,2015-04-01,29.45622222,3.412740449,Annual flowers in open,0,0,0,2,SF,flies,1.6197222222222223,26,0:37:02,0:37:04,5.555555555555556e-4,1,video,0
2015,1,2015-04-01,29.45622222,3.412740449,Annual flowers in open,0,0,0,2,SF,flies,1.6197222222222223,26,0:37:26,0:37:48,0.006111111111111111,3,video,0
2015,1,2015-04-01,29.45622222,3.412740449,Annual flowers in open,0,0,0,2,BB,bees,1.6197222222222223,26,1:29:33,1:29:35,5.555555555555556e-4,1,video,0
2015,1,2015-04-01,29.45622222,3.412740449,Annual flowers in open,0,0,0,2,MB,bees,1.6197222222222223,26,1:29:39,1:29:40,2.777777777777778e-4,1,video,0
2015,1,2015-04-01,29.45622222,3.412740449,Annual flowers in open,0,0,0,2,BF,flies,1.6197222222222223,26,0:05:48,0:06:06,0.005,1,video,0
2015,1,2015-04-01,29.45622222,3.412740449,Annual flowers in open,0,0,0,2,BF,flies,1.6197222222222223,26,0:23:53,0:24:17,0.006666666666666667,2,video,0
2015,1,2015-04-01,29.45622222,3.412740449,Annual flowers in open,0,0,0,2,SF,flies,1.6197222222222223,26,0:57:39,0:57:41,5.555555555555556e-4,1,video,0
2015,1,2015-04-01,29.45622222,3.412740449,Annual flowers in open,0,0,0,2,SF,flies,1.6197222222222223,26,0:06:06,0:10:35,0.07472222222222222,1,video,0
2015,1,2015-04-01,29.45622222,3.412740449,Annual flowers in open,0,0,0,2,SF,flies,0.25,200,0,0,NA,NA,in-situ,0
2015,1,2015-04-01,29.45622222,3.412740449,Annual flowers in open,0,0,0,3,MB,bees,1.4125,16,0:52:57,0:52:58,2.777777777777778e-4,1,video,0
2015,1,2015-04-01,29.45622222,3.412740449,Annual flowers in open,0,0,0,3,MB,bees,1.4125,16,0:13:34,0:13:42,0.0022222222222222222,1,video,0
2015,1,2015-04-01,29.45622222,3.412740449,Annual flowers in open,0,0,0,3,MB,bees,1.4125,16,1:13:02,1:13:10,0.0022222222222222222,1,video,0
2015,1,2015-04-01,29.45622222,3.412740449,Annual flowers in open,0,0,0,3,MB,bees,1.4125,16,0:49:09,0:49:22,0.003611111111111111,1,video,0
2015,1,2015-04-01,29.45622222,3.412740449,Annual flowers in open,0,0,0,3,MB,bees,1.4125,16,1:06:20,1:06:34,0.0038888888888888888,2,video,0
2015,1,2015-04-01,29.45622222,3.412740449,Annual flowers in open,0,0,0,3,MB,bees,1.4125,16,0:34:52,0:35:07,0.004166666666666667,1,video,0
2015,1,2015-04-01,29.45622222,3.412740449,Annual flowers in open,0,0,0,3,MB,bees,1.4125,16,0:37:46,0:38:02,0.0044444444444444444,1,video,0
2015,1,2015-04-01,29.45622222,3.412740449,Annual flowers in open,0,0,0,3,MB,bees,1.4125,16,0:27:51,0:28:18,0.0075,1,video,0
2015,1,2015-04-01,29.45622222,3.412740449,Annual flowers in open,0,0,0,3,MB,bees,1.4125,16,0:12:10,0:12:40,0.008333333333333333,3,video,0
2015,1,2015-04-01,29.45622222,3.412740449,Annual flowers in open,0,0,0,3,MB,bees,0.25,200,0,0,NA,NA,in-situ,0
2015,1,2015-04-01,29.45622222,3.412740449,Annual flowers in open,0,0,0,3,BF,flies,1.4125,16,0:56:37,0:56:48,0.0030555555555555557,1,video,0
2015,1,2015-04-01,29.45622222,3.412740449,Annual flowers in open,0,0,0,3,BF,flies,1.4125,16,0:35:20,0:35:32,0.0033333333333333335,1,video,0
