year,date,time,net.treatment,rep,x1,x2,x3,temperature,intensity
2015,4/4/2015,22:00:00,open,4,0,0,0,18.806,0
2015,4/4/2015,23:00:00,open,4,0,0,0,13.75,0
2015,4/5/2015,0:00:00,open,4,0,0,0,12.98,0
2015,4/5/2015,1:00:00,open,4,0,0,0,12.883,0
2015,4/5/2015,2:00:00,open,4,0,0,0,12.401,0
2015,4/5/2015,3:00:00,open,4,0,0,0,11.431,0
2015,4/5/2015,4:00:00,open,4,0,0,0,10.944,0
2015,4/5/2015,5:00:00,open,4,0,0,0,10.455,0
2015,4/5/2015,6:00:00,open,4,0,0,0,10.063,0
2015,4/5/2015,7:00:00,open,4,0,0,0,13.365,2583.4
2015,4/5/2015,8:00:00,open,4,0,0,0,23.773,7233.4
2015,4/5/2015,9:00:00,open,4,0,0,0,26.39,8266.7
2015,4/5/2015,10:00:00,open,4,0,0,0,28.456,7577.8
2015,4/5/2015,11:00:00,open,4,0,0,0,30.457,7577.8
2015,4/5/2015,12:00:00,open,4,0,0,0,31.37,8266.7
2015,4/5/2015,13:00:00,open,4,0,0,0,35.222,8266.7
2015,4/5/2015,14:00:00,open,4,0,0,0,36.837,6544.5
2015,4/5/2015,15:00:00,open,4,0,0,0,38.268,13089
2015,4/5/2015,16:00:00,open,4,0,0,0,36.187,13777.9
2015,4/5/2015,17:00:00,open,4,0,0,0,33.848,5166.7
2015,4/5/2015,18:00:00,open,4,0,0,0,32.291,5511.1
2015,4/5/2015,19:00:00,open,4,0,0,0,22.812,495.1
2015,4/5/2015,20:00:00,open,4,0,0,0,19.472,0
2015,4/5/2015,21:00:00,open,4,0,0,0,17.57,0
2015,4/5/2015,22:00:00,open,4,0,0,0,16.427,0
2015,4/5/2015,23:00:00,open,4,0,0,0,14.23,0
2015,4/6/2015,0:00:00,open,4,0,0,0,13.75,0
2015,4/6/2015,1:00:00,open,4,0,0,0,12.594,0
2015,4/6/2015,2:00:00,open,4,0,0,0,11.041,0
2015,4/6/2015,3:00:00,open,4,0,0,0,8.282,0
2015,4/6/2015,4:00:00,open,4,0,0,0,7.782,0
2015,4/6/2015,5:00:00,open,4,0,0,0,7.481,0
2015,4/6/2015,6:00:00,open,4,0,0,0,7.983,0
2015,4/6/2015,7:00:00,open,4,0,0,0,10.161,5338.9
2015,4/6/2015,8:00:00,open,4,0,0,0,18.331,8266.7
2015,4/6/2015,9:00:00,open,4,0,0,0,22.908,10333.4
2015,4/6/2015,10:00:00,open,4,0,0,0,26,7577.8
2015,4/6/2015,11:00:00,open,4,0,0,0,26.585,10333.4
2015,4/6/2015,12:00:00,open,4,0,0,0,28.159,7577.8
2015,4/6/2015,13:00:00,open,4,0,0,0,32.086,7233.4
2015,4/6/2015,14:00:00,open,4,0,0,0,32.911,7577.8
2015,4/6/2015,15:00:00,open,4,0,0,0,33.743,8266.7
2015,4/6/2015,16:00:00,open,4,0,0,0,34.058,8266.7
2015,4/6/2015,17:00:00,open,4,0,0,0,33.535,8611.2
2015,4/6/2015,18:00:00,open,4,0,0,0,29.953,5511.1
2015,4/6/2015,19:00:00,open,4,0,0,0,20.043,258.3
2015,4/6/2015,20:00:00,open,4,0,0,0,16.808,0
2015,4/6/2015,21:00:00,open,4,0,0,0,16.046,0
2015,4/6/2015,22:00:00,open,4,0,0,0,14.421,0
2015,4/6/2015,23:00:00,open,4,0,0,0,13.365,0
2015,4/7/2015,0:00:00,open,4,0,0,0,9.965,0
2015,4/7/2015,1:00:00,open,4,0,0,0,9.866,0
2015,4/7/2015,2:00:00,open,4,0,0,0,8.082,0
2015,4/7/2015,3:00:00,open,4,0,0,0,7.782,0
2015,4/7/2015,4:00:00,open,4,0,0,0,6.471,0
2015,4/7/2015,5:00:00,open,4,0,0,0,5.552,0
2015,4/7/2015,6:00:00,open,4,0,0,0,5.86,0
2015,4/7/2015,7:00:00,open,4,0,0,0,8.481,5511.1
2015,4/7/2015,8:00:00,open,4,0,0,0,18.236,22044.6
2015,4/7/2015,9:00:00,open,4,0,0,0,22.142,23422.4
2015,4/7/2015,10:00:00,open,4,0,0,0,25.319,18600.1
2015,4/7/2015,11:00:00,open,4,0,0,0,26.292,12400.1
2015,4/7/2015,12:00:00,open,4,0,0,0,24.448,6544.5
2015,4/7/2015,13:00:00,open,4,0,0,0,30.054,7233.4
2015,4/7/2015,14:00:00,open,4,0,0,0,30.054,7577.8
2015,4/7/2015,15:00:00,open,4,0,0,0,31.983,8266.7
2015,4/7/2015,16:00:00,open,4,0,0,0,34.585,8266.7
2015,4/7/2015,17:00:00,open,4,0,0,0,31.983,8266.7
2015,4/7/2015,18:00:00,open,4,0,0,0,29.452,5511.1
2015,4/7/2015,19:00:00,open,4,0,0,0,18.616,409
2015,4/7/2015,20:00:00,open,4,0,0,0,15.569,0
2015,4/7/2015,21:00:00,open,4,0,0,0,13.654,0
2015,4/7/2015,22:00:00,open,4,0,0,0,14.038,0
2015,4/7/2015,23:00:00,open,4,0,0,0,12.883,0
2015,4/8/2015,0:00:00,open,4,0,0,0,11.334,0
2015,4/8/2015,1:00:00,open,4,0,0,0,10.063,0
2015,4/8/2015,2:00:00,open,4,0,0,0,8.382,0
2015,4/8/2015,3:00:00,open,4,0,0,0,8.082,0
2015,4/8/2015,4:00:00,open,4,0,0,0,7.381,0
2015,4/8/2015,5:00:00,open,4,0,0,0,7.481,0
2015,4/8/2015,6:00:00,open,4,0,0,0,5.86,0
2015,4/8/2015,7:00:00,open,4,0,0,0,8.978,5511.1
2015,4/8/2015,8:00:00,open,4,0,0,0,16.999,17222.3
2015,4/8/2015,9:00:00,open,4,0,0,0,20.615,22044.6
2015,4/8/2015,10:00:00,open,4,0,0,0,23.004,18600.1
2015,4/8/2015,11:00:00,open,4,0,0,0,25.125,11022.3
2015,4/8/2015,12:00:00,open,4,0,0,0,26.195,6544.5
2015,4/8/2015,13:00:00,open,4,0,0,0,28.258,7233.4
2015,4/8/2015,14:00:00,open,4,0,0,0,30.659,8266.7
2015,4/8/2015,15:00:00,open,4,0,0,0,31.37,8611.2
2015,4/8/2015,16:00:00,open,4,0,0,0,32.394,8266.7
2015,4/8/2015,17:00:00,open,4,0,0,0,32.188,7577.8
2015,4/8/2015,18:00:00,open,4,0,0,0,28.655,5511.1
2015,4/8/2015,19:00:00,open,4,0,0,0,19.662,1205.6
2015,4/8/2015,20:00:00,open,4,0,0,0,13.461,0
2015,4/8/2015,21:00:00,open,4,0,0,0,12.69,0
2015,4/8/2015,22:00:00,open,4,0,0,0,11.431,0
2015,4/8/2015,23:00:00,open,4,0,0,0,10.944,0
2015,4/9/2015,0:00:00,open,4,0,0,0,10.259,0
2015,4/9/2015,1:00:00,open,4,0,0,0,9.669,0
2015,4/9/2015,2:00:00,open,4,0,0,0,8.779,0
2015,4/9/2015,3:00:00,open,4,0,0,0,7.983,0
2015,4/9/2015,4:00:00,open,4,0,0,0,7.682,0
2015,4/9/2015,5:00:00,open,4,0,0,0,7.782,0
2015,4/9/2015,6:00:00,open,4,0,0,0,7.179,0
2015,4/9/2015,7:00:00,open,4,0,0,0,11.431,11022.3
2015,4/9/2015,8:00:00,open,4,0,0,0,19.567,8611.2
2015,4/9/2015,9:00:00,open,4,0,0,0,24.158,8266.7
2015,4/9/2015,10:00:00,open,4,0,0,0,26.879,10333.4
2015,4/9/2015,11:00:00,open,4,0,0,0,30.154,10333.4
2015,4/9/2015,12:00:00,open,4,0,0,0,28.655,7233.4
2015,4/9/2015,13:00:00,open,4,0,0,0,33.535,7577.8
2015,4/9/2015,14:00:00,open,4,0,0,0,34.796,9300.1
2015,4/9/2015,15:00:00,open,4,0,0,0,35.756,9300.1
2015,4/9/2015,16:00:00,open,4,0,0,0,37.494,8611.2
2015,4/9/2015,17:00:00,open,4,0,0,0,37.494,7577.8
2015,4/9/2015,18:00:00,open,4,0,0,0,34.268,5511.1
2015,4/9/2015,19:00:00,open,4,0,0,0,23.869,1227.1
2015,4/9/2015,20:00:00,open,4,0,0,0,14.23,0
2015,4/9/2015,21:00:00,open,4,0,0,0,13.558,0
2015,4/9/2015,22:00:00,open,4,0,0,0,14.709,0
2015,4/9/2015,23:00:00,open,4,0,0,0,15.855,0
2015,4/10/2015,0:00:00,open,4,0,0,0,14.23,0
2015,4/10/2015,1:00:00,open,4,0,0,0,13.269,0
2015,4/10/2015,2:00:00,open,4,0,0,0,11.431,0
2015,4/10/2015,3:00:00,open,4,0,0,0,10.161,0
2015,4/10/2015,4:00:00,open,4,0,0,0,9.571,0
2015,4/10/2015,5:00:00,open,4,0,0,0,10.063,0
2015,4/10/2015,6:00:00,open,4,0,0,0,9.768,0
2015,4/10/2015,7:00:00,open,4,0,0,0,11.916,2583.4
2015,4/10/2015,8:00:00,open,4,0,0,0,20.329,6544.5
2015,4/10/2015,9:00:00,open,4,0,0,0,25.708,10677.8
2015,4/10/2015,10:00:00,open,4,0,0,0,25.902,11711.2
2015,4/10/2015,11:00:00,open,4,0,0,0,32.291,11711.2
2015,4/10/2015,12:00:00,open,4,0,0,0,32.807,9300.1
2015,4/10/2015,13:00:00,open,4,0,0,0,34.268,9300.1
2015,4/10/2015,14:00:00,open,4,0,0,0,35.649,9644.5
2015,4/10/2015,15:00:00,open,4,0,0,0,34.796,10677.8
2015,4/10/2015,16:00:00,open,4,0,0,0,35.435,9644.5
2015,4/10/2015,17:00:00,open,4,0,0,0,37.274,8611.2
2015,4/10/2015,18:00:00,open,4,0,0,0,30.558,5166.7
2015,4/10/2015,19:00:00,open,4,0,0,0,21.855,258.3
2015,4/10/2015,20:00:00,open,4,0,0,0,15.569,0
2015,4/10/2015,21:00:00,open,4,0,0,0,17.379,0
2015,4/10/2015,22:00:00,open,4,0,0,0,16.618,0
2015,4/10/2015,23:00:00,open,4,0,0,0,14.709,0
2015,4/1/2015,0:00:00,open,5,0,0,0,20.031,NA
2015,4/1/2015,1:00:00,open,5,0,0,0,18.794,NA
2015,4/1/2015,2:00:00,open,5,0,0,0,17.748,NA
2015,4/1/2015,3:00:00,open,5,0,0,0,16.796,NA
2015,4/1/2015,4:00:00,open,5,0,0,0,15.915,NA
2015,4/1/2015,5:00:00,open,5,0,0,0,15.175,NA
2015,4/1/2015,6:00:00,open,5,0,0,0,14.433,NA
2015,4/1/2015,7:00:00,open,5,0,0,0,13.93,NA
2015,4/1/2015,8:00:00,open,5,0,0,0,14.026,NA
2015,4/1/2015,9:00:00,open,5,0,0,0,14.84,NA
2015,4/1/2015,10:00:00,open,5,0,0,0,16.63,NA
2015,4/1/2015,11:00:00,open,5,0,0,0,30.091,NA
2015,4/1/2015,12:00:00,open,5,0,0,0,35.155,NA
2015,4/1/2015,13:00:00,open,5,0,0,0,36.146,NA
2015,4/1/2015,14:00:00,open,5,0,0,0,38.644,NA
2015,4/1/2015,15:00:00,open,5,0,0,0,39.149,NA
2015,4/1/2015,16:00:00,open,5,0,0,0,37.015,NA
2015,4/1/2015,17:00:00,open,5,0,0,0,32.872,NA
2015,4/1/2015,18:00:00,open,5,0,0,0,27.284,NA
2015,4/1/2015,19:00:00,open,5,0,0,0,21.581,NA
2015,4/1/2015,20:00:00,open,5,0,0,0,19.032,NA
2015,4/1/2015,21:00:00,open,5,0,0,0,17.082,NA
2015,4/1/2015,22:00:00,open,5,0,0,0,18.794,NA
